record_id,application_start_date,product_type,application_complete_date,policy_number,purchase_status,application_approval_decision_date,application_approval_decision,policy_purchase_date,user_age,user_gender,user_income,premium_class,policy_length_years,policy_coverage_amount,policy_monthly_premiums,lead_source
13930956167,2023-06-30 18:13,Term Life,2023-06-30,1559829,Customer declined,2023-06-30,Approved,,52,M,50000,Non-Tobacco User,20,500000,155.24,SEO
13930917910,2023-06-30 18:13,Term Life,,,,,,,51,M,,,,,112.87,Google Paid
13930925190,2023-06-30 18:13,Term Life,2023-06-30,1559831,Customer declined,,Application cancelled,,70,M,20400,Non-Tobacco User,15,100000,209.44,Facebook Paid
13929537685,2023-06-30 17:54,Term Life,,,,,,,37,M,120000,,,,130.7,Google Paid
13929543322,2023-06-30 17:39,Term Life,,,,,,,65,F,,,,,175.28,Facebook Paid
13930727998,2023-06-30 17:26,Term Life,2023-06-30,1559827,Purchased,2023-07-04,Approved,2023-07-04,37,M,100000,Non-Tobacco User,25,1000000,98.17,Affiliate
13929371211,2023-06-30 17:16,Term Life,2023-06-30,1559826,Pending,2023-06-30,Approved,,34,M,68000,Non-Tobacco User,20,500000,31.2,SEO
13929436699,2023-06-30 17:08,Term Life,,,,,,,68,F,,,,,79.47,Facebook Paid
13929085331,2023-06-30 16:19,Term Life,,,,,,,58,M,,,,,129.79,Google Paid
13929098907,2023-06-30 16:05,Term Life,2023-06-30,1559819,Pending,2023-06-30,Approved,,52,M,179000,Tobacco User,15,200000,157.78,Facebook Paid
13929147471,2023-06-30 15:57,Term Life,,,,,,,36,M,150000,,,,98.17,Direct
13928996776,2023-06-30 15:39,Term Life,2023-06-30,1559821,Pending,,In Progress,,50,F,83000,Non-Tobacco User,15,200000,35.79,Facebook Paid
13929038510,2023-06-30 15:38,Term Life,,,,,,,67,F,,,,,116.45,Facebook Paid
13929012295,2023-06-30 15:34,Term Life,,,,,,,36,M,,,,,98.17,Direct
13928965234,2023-06-30 15:33,Term Life,,,,,,,58,F,56000,,,,69.45,Facebook Paid
13929162337,2023-06-30 15:32,Term Life,2023-06-30,1559817,Purchased,2023-07-20,Approved,2023-07-21,26,M,15000,Tobacco User,10,150000,16.85,Google Paid
13928168593,2023-06-30 14:30,Term Life,2023-07-01,1559872,Pending,,In Progress,,47,M,110000,Non-Tobacco User,15,250000,42.6,Facebook Paid
13928046386,2023-06-30 14:11,Term Life,2023-06-30,1559815,Pending,,In Progress,,54,F,110000,Non-Tobacco User,30,650000,332.43,Facebook Paid
13926949405,2023-06-30 13:14,Term Life,2023-06-30,1559813,Purchased,2023-06-30,Approved,2023-06-30,50,M,43600,Non-Tobacco User,15,250000,56.84,Facebook Paid
13926472580,2023-06-30 12:26,Term Life,,,,,,,49,M,,,,,56.84,Facebook Paid
13926388071,2023-06-30 12:19,Term Life,,,,,,,37,M,,,,,685.76,SEO
13925947282,2023-06-30 11:42,Term Life,,,,,,,39,F,,,,,45.78,Facebook Paid
13924993093,2023-06-30 11:23,Term Life,,,,,,,33,F,,,,,14.71,Affiliate
13924906165,2023-06-30 10:58,Term Life,,,,,,,20,F,15000,,,,23.26,Google Paid
13923498558,2023-06-30 8:15,Term Life,2023-06-30,1559807,Pending,2023-06-30,Approved,,39,M,38000,Tobacco User,10,800000,93.26,Affiliate
13923407777,2023-06-30 7:59,Term Life,2023-06-30,1559823,Pending,,In Progress,,50,M,40000,Non-Tobacco User,20,400000,67.17,Google Paid
13923132426,2023-06-30 7:34,Term Life,,,,,,,37,M,,,,,130.7,Facebook Paid
13919594856,2023-06-30 4:09,Term Life,,,,,,,47,F,,,,,30.52,Facebook Paid
13919255571,2023-06-30 2:18,Term Life,,,,,,,32,F,,,,,17.04,Direct
13919109555,2023-06-30 1:42,Term Life,2023-06-30,1559805,Purchased,2023-06-30,Approved,2023-06-30,56,M,50000,Non-Tobacco User,10,500000,119.92,Facebook Paid
13918354049,2023-06-30 1:15,Term Life,,,,,,,26,M,,,,,53.46,Direct
13918348876,2023-06-30 0:55,Term Life,,,,,,,53,M,,,,,87.65,Direct
13917973396,2023-06-30 0:44,Term Life,,,,,,,49,F,,,,,40.85,Facebook Paid
13917939480,2023-06-30 0:13,Term Life,2023-06-30,1559803,Customer declined,,Application cancelled,,74,M,2250,Non-Tobacco User,10,100000,268.21,Facebook Paid
13917923195,2023-06-30 0:03,Term Life,2023-06-30,1559799,Pending,2023-06-30,Approved,,46,M,50000,Tobacco User,20,250000,126.95,Affiliate
13917683026,2023-06-29 23:47,Term Life,2023-06-30,1559801,Pending,2023-06-30,Approved,,44,F,50000,Non-Tobacco User,20,250000,27.4,Affiliate
13917865306,2023-06-29 23:20,Term Life,2023-06-30,1559796,Pending,2023-06-29,Approved,,49,M,100000,Non-Tobacco User,10,250000,33.8,Facebook Paid
13917834892,2023-06-29 23:16,Term Life,,,,,,,40,F,,,,,74.06,Facebook Paid
13917268634,2023-06-29 21:59,Term Life,2023-06-30,1559794,Application declined,2023-07-05,Declined,,41,F,115000,Non-Tobacco User,10,350000,17.06,SEO
13917160193,2023-06-29 21:51,Term Life,,,,,,,35,M,,,,,27.32,Direct
13916836676,2023-06-29 21:33,Term Life,2023-06-30,1559793,Application declined,2023-07-05,Declined,,47,M,100000,Non-Tobacco User,10,350000,38.81,SEO
13916774800,2023-06-29 21:03,Critical Illness,2023-06-29,1559791,Application declined,2023-06-29,Declined,,39,F,56000,Non-Tobacco User,10,45000,28.08,CII Email Blast
13916859761,2023-06-29 20:51,Critical Illness,2023-06-29,1559790,Application declined,2023-06-29,Declined,,35,F,42000,Non-Tobacco User,10,45000,21.18,CII Email Blast
13916395700,2023-06-29 20:06,Term Life,,,,,,,30,M,,,,,80.96,benefit brokers
13916521379,2023-06-29 20:05,Term Life,,,,,,,61,F,,,,,107.49,SEO
13916385870,2023-06-29 19:27,Term Life,2023-06-29,1559788,Purchased,2023-06-29,Approved,2023-07-07,40,F,0,Non-Tobacco User,20,500000,33.61,Affiliate
13914733853,2023-06-29 19:16,Term Life,2023-06-29,1559785,Pending,2023-06-29,Approved,,34,M,150000,Tobacco User,30,300000,79.03,Facebook Paid
13914627438,2023-06-29 19:14,Term Life,2023-06-29,1559789,Purchased,2023-06-29,Approved,2023-06-30,40,M,130000,Non-Tobacco User,20,500000,44.71,Affiliate
13914885980,2023-06-29 19:05,Term Life,2023-06-29,1559787,Pending,2023-06-29,Approved,,31,F,60000,Non-Tobacco User,30,600000,40.88,Facebook Paid
13914314124,2023-06-29 18:53,Critical Illness,2023-06-29,1559783,Purchased,2023-06-29,Approved,2023-06-30,53,F,45000,Non-Tobacco User,15,25000,40.6,Google Paid
13914047620,2023-06-29 17:51,Term Life,,,,,,,72,M,,,,,1780.48,SEO
13913656400,2023-06-29 17:09,Term Life,,,,,,,38,F,,,,,34.61,Facebook Paid
13913654337,2023-06-29 16:45,Term Life,2023-06-29,1559782,Pending,2023-06-29,Approved,,37,M,50000,Non-Tobacco User,10,450000,22.71,Google Paid
13913502579,2023-06-29 16:16,Term Life,2023-06-29,1559780,Customer declined,,Application cancelled,,42,M,65880,Non-Tobacco User,25,250000,46.06,SEO
13913387828,2023-06-29 15:50,Term Life,,,,,,,29,M,,,,,80.96,Facebook Paid
13912630892,2023-06-29 15:35,Term Life,,,,,,,45,F,,,,,17.81,Facebook Paid
13912689276,2023-06-29 15:17,Term Life,2023-06-29,1559778,Customer declined,,Application cancelled,,70,M,26000,Non-Tobacco User,10,200000,281.94,SEO
13913185691,2023-06-29 15:09,Term Life,2023-06-29,1559774,Customer declined,2023-06-29,Approved,,45,F,7000,Non-Tobacco User,20,1200000,112.33,Direct
13913281054,2023-06-29 15:09,Term Life,2023-06-29,1559776,Application declined,2023-06-29,Declined,,46,M,15000,Non-Tobacco User,10,100000,14.54,Google Paid
13913167740,2023-06-29 15:09,Term Life,,,,,,,60,M,,,,,98.53,Affiliate
13913276428,2023-06-29 15:09,Term Life,,,,,,,43,F,,,,,35,Facebook Paid
13912134793,2023-06-29 13:44,Term Life,,,,,,,46,M,130000,,,,166.83,Facebook Paid
13912126898,2023-06-29 13:38,Term Life,,,,,,,62,M,,,,,83.73,Facebook Paid
13912204948,2023-06-29 13:38,Term Life,2023-06-29,1559770,Purchased,2023-06-29,Approved,2023-06-29,31,F,110000,Non-Tobacco User,20,200000,13.61,Affiliate
13912180126,2023-06-29 13:28,Term Life,,,,,,,41,F,,,,,47.86,Facebook Paid
13911995504,2023-06-29 13:02,Term Life,2023-06-29,1559768,Purchased,2023-06-29,Approved,2023-07-07,32,M,142000,Non-Tobacco User,30,750000,70.88,Mortgage
13911918444,2023-06-29 12:35,Term Life,,,,,,,35,F,,,,,25.58,Direct
13911727886,2023-06-29 12:15,Term Life,2023-06-29,1559767,Customer declined,2023-06-29,Approved,,38,F,92000,Non-Tobacco User,20,500000,29.59,Google Paid
13910542144,2023-06-29 10:55,Term Life,2023-06-29,1559763,Pending,2023-06-29,Approved,,36,M,110000,Non-Tobacco User,30,350000,47.48,Facebook Paid
13910531083,2023-06-29 10:43,Term Life,2023-06-29,1559759,Pending,2023-06-29,Approved,,36,M,30000,Non-Tobacco User,30,300000,41.34,Facebook Paid
13910489753,2023-06-29 10:35,Term Life,2023-06-29,1559761,Pending,2023-06-29,Approved,,38,F,25000,Non-Tobacco User,30,300000,37,Facebook Paid
13911197001,2023-06-29 10:33,Term Life,,,,,,,59,M,150000,,,,94.34,Facebook Paid
13911228016,2023-06-29 10:27,Term Life,2023-06-29,1559764,Application declined,2023-06-29,Declined,,36,F,100000,Non-Tobacco User,30,350000,35.68,Facebook Paid
13910554794,2023-06-29 10:20,Term Life,,,,,,,60,F,,,,,34.18,SEO
13910322466,2023-06-29 10:17,Term Life,,,,,,,61,F,23000,,,,77.63,Facebook Paid
13910498438,2023-06-29 10:13,Term Life,,,,,,,60,M,,,,,167,Facebook Paid
13910466865,2023-06-29 10:04,Term Life,,,,,,,34,F,15000,,,,13.46,Affiliate
13910270131,2023-06-29 10:03,Term Life,,,,,,,52,F,,,,,51.44,Facebook Paid
13910494545,2023-06-29 10:00,Term Life,2023-06-29,1559753,Pending,2023-06-29,Approved,,42,M,76000,Non-Tobacco User,20,400000,48.6,Facebook Paid
13910204991,2023-06-29 9:51,Term Life,2023-06-29,1559755,Pending,2023-06-29,Approved,,35,F,0,Non-Tobacco User,20,400000,20.78,Facebook Paid
13910268800,2023-06-29 9:47,Term Life,,,,,,,37,M,300000,,,,45.87,Affiliate
13910090793,2023-06-29 9:25,Term Life,2023-06-29,1559757,Pending,,In Progress,,44,M,250000,Non-Tobacco User,10,500000,37.62,SEO
13909803541,2023-06-29 8:27,Term Life,2023-06-29,1559749,Customer declined,,Application cancelled,,44,M,15000,Non-Tobacco User,25,200000,48.06,Facebook Paid
13909637490,2023-06-29 8:09,Term Life,,,,,,,59,F,,,,,400.01,Organic Social
13909368833,2023-06-29 7:48,Term Life,2023-06-29,1559751,Application declined,2023-06-29,Declined,,41,F,100000,Non-Tobacco User,25,200000,26.94,Facebook Paid
13906601139,2023-06-29 1:06,Term Life,2023-06-29,1559745,Purchased,2023-06-29,Approved,2023-07-14,39,F,0,Non-Tobacco User,30,250000,34,Facebook Paid
13905535020,2023-06-29 0:56,Term Life,2023-06-29,1559747,Pending,2023-06-29,Approved,,31,M,90000,Non-Tobacco User,30,500000,46.34,Facebook Paid
13906522421,2023-06-29 0:29,Term Life,,,,,,,38,M,,,,,64.6,Direct
13906218127,2023-06-28 23:06,Term Life,2023-06-29,1559743,Customer declined,,Application cancelled,,26,F,900,Non-Tobacco User,30,100000,9.78,Facebook Paid
13906194841,2023-06-28 22:52,Term Life,2023-06-28,1559741,Pending,2023-06-28,Approved,,50,M,70000,Non-Tobacco User,15,100000,26.2,Affiliate
13906073097,2023-06-28 22:48,Term Life,,,,,,,37,F,,,,,21.77,Facebook Paid
13906187272,2023-06-28 22:43,Term Life,,,,,,,49,F,,,,,171.73,Direct
13905285688,2023-06-28 22:43,Term Life,,,,,,,43,M,,,,,266.33,Facebook Paid
13906170498,2023-06-28 22:25,Term Life,,,,,,,41,M,,,,,54.95,Direct
13906078363,2023-06-28 22:01,Term Life,,,,,,,33,M,,,,,41.88,Affiliate
13904983666,2023-06-28 21:52,Term Life,2023-06-29,1559739,Customer declined,,Application cancelled,,44,F,40000,Non-Tobacco User,20,450000,45.72,Facebook Paid
13905145154,2023-06-28 21:47,Term Life,,,,,,,46,F,,,,,44.42,Direct
13904939660,2023-06-28 21:21,Term Life,,,,,,,44,F,,,,,45.72,Facebook Paid
13904858246,2023-06-28 20:20,Term Life,,,,,,,61,M,200000,,,,1486.2,SEO
13904503355,2023-06-28 19:58,Term Life,2023-06-28,1559735,Pending,2023-06-28,Approved,,33,F,80000,Non-Tobacco User,20,500000,22.71,Google Paid
13904576893,2023-06-28 19:51,Term Life,,,,,,,47,F,80000,,,,49.5,Facebook Paid
13904673324,2023-06-28 19:49,Term Life,2023-06-28,1559737,Pending,2023-06-29,Approved,,37,M,80000,Tobacco User,20,500000,93.73,Google Paid
13904814084,2023-06-28 19:41,Term Life,,,,,,,61,F,100000,,,,515.87,SEO
13903476553,2023-06-28 19:32,Term Life,2023-06-28,1559733,Customer declined,,Application cancelled,,55,F,130000,Non-Tobacco User,15,500000,116.66,Facebook Paid
13904418344,2023-06-28 19:27,Term Life,2023-06-28,1559729,Application declined,2023-06-30,Declined,,28,M,48000,Tobacco User,10,100000,12.74,SEO
13904668730,2023-06-28 19:00,Term Life,2023-06-28,1559730,Customer declined,,Application cancelled,,23,F,0,Non-Tobacco User,10,100000,7.24,SEO
13903024288,2023-06-28 17:03,Term Life,,,,,,,40,F,,,,,36.41,Organic Social
13902843755,2023-06-28 16:59,Term Life,2023-06-28,1559725,Customer declined,,Application cancelled,,40,F,70000,Non-Tobacco User,15,500000,26.44,Organic Social
13902928402,2023-06-28 16:52,Term Life,,,,,,,60,M,65000,,,,190.23,Direct
13902862670,2023-06-28 16:50,Term Life,2023-06-28,1559720,Customer declined,2023-07-17,Approved,,41,M,90000,Non-Tobacco User,20,500000,49.83,Online Community
13902944555,2023-06-28 16:39,Term Life,,,,,,,32,M,,,,,90.94,Google Paid
13902584067,2023-06-28 16:38,Term Life,2023-06-28,1559726,Pending,2023-06-28,Approved,,41,M,200000,Non-Tobacco User,15,1000000,76.04,Organic Social
13902796459,2023-06-28 16:34,Term Life,2023-06-28,1559722,Pending,2023-06-28,Approved,,38,F,5000,Non-Tobacco User,20,500000,29.59,Online Community
13902734659,2023-06-28 16:29,Term Life,,,,,,,55,F,65000,,,,74.23,Direct
13902733977,2023-06-28 16:25,Term Life,,,,,,,34,F,,,,,12.43,Direct
13901612388,2023-06-28 16:14,Term Life,2023-06-28,1559719,Pending,2023-07-12,Approved,,35,M,114000,Non-Tobacco User,25,250000,47.52,Facebook Paid
13902384824,2023-06-28 15:42,Critical Illness,,,,,,,41,M,,,,,245.58,Direct
13902239902,2023-06-28 15:38,Term Life,2023-06-28,1559717,Application declined,2023-07-10,Declined,,55,M,45000,Non-Tobacco User,20,100000,55.35,Google Paid
13901316375,2023-06-28 15:36,Term Life,,,,,,,57,M,,,,,132.47,Google Paid
13902239760,2023-06-28 15:36,Term Life,,,,,,,43,M,,,,,92.03,Facebook Paid
13901065903,2023-06-28 14:33,Term Life,2023-06-28,1559712,Purchased,2023-06-28,Approved,2023-07-10,58,F,0,Non-Tobacco User,15,500000,147.81,Facebook Paid
13902000195,2023-06-28 14:18,Term Life,2023-06-28,1559711,Pending,2023-06-28,Approved,,21,F,40000,Non-Tobacco User,30,500000,25.17,Facebook Paid
13900903250,2023-06-28 14:05,Term Life,2023-06-28,1559707,Customer declined,2023-06-28,Approved,,31,F,0,Non-Tobacco User,30,450000,32.91,SEO
13901924017,2023-06-28 14:02,Term Life,,,,,,,40,F,,,,,18.82,Facebook Paid
13901880415,2023-06-28 13:48,Term Life,2023-06-28,1559705,Pending,,In Progress,,35,M,90000,Non-Tobacco User,10,1000000,36.71,Friend or Family
13901933628,2023-06-28 13:43,Term Life,2023-06-28,1559709,Customer declined,,Application cancelled,,32,M,65000,Non-Tobacco User,30,450000,47.52,SEO
13900718458,2023-06-28 13:02,Term Life,2023-06-28,1559703,Pending,2023-06-28,Approved,,32,M,65000,Non-Tobacco User,25,400000,50.85,Facebook Paid
13900729664,2023-06-28 13:00,Term Life,2023-06-28,1559701,Customer declined,,Application cancelled,,69,F,0,Non-Tobacco User,15,200000,254.95,Bing
13900747445,2023-06-28 12:59,Term Life,,,,,,,37,F,,,,,56.76,Affiliate
13900571048,2023-06-28 12:42,Term Life,2023-06-28,1559699,Customer declined,,Application cancelled,,64,M,50000,Non-Tobacco User,15,200000,196.21,Bing
13900609709,2023-06-28 12:39,Term Life,,,,,,,23,F,,,,,25.52,Google Paid
13900356274,2023-06-28 12:12,Term Life,2023-06-28,1559693,Pending,2023-06-28,Approved,,45,F,48000,Non-Tobacco User,20,475000,51.63,Google Paid
13900524141,2023-06-28 12:12,Term Life,,,,,,,50,F,,,,,117.49,Direct
13900320593,2023-06-28 12:08,Term Life,2023-06-28,1559697,Pending,,In Progress,,61,F,315,Non-Tobacco User,15,100000,55.99,SEO
13900080784,2023-06-28 11:53,Term Life,,,,,,,47,F,,,,,12.9,Facebook Paid
13900437514,2023-06-28 11:48,Term Life,2023-06-28,1559694,Customer declined,,Application cancelled,,47,M,65000,Non-Tobacco User,20,475000,93.41,Google Paid
13900099149,2023-06-28 11:45,Term Life,,,,,,,39,M,,,,,167.88,Direct
13899560824,2023-06-28 10:37,Term Life,,,,,,,64,M,,,,,193.34,SEO
13898992221,2023-06-28 9:21,Term Life,,,,,,,39,F,,,,,30.82,SEO
13898683708,2023-06-28 8:49,Term Life,,,,,,,55,M,125000,,,,170.01,Facebook Paid
13896758113,2023-06-28 8:24,Term Life,2023-06-28,1559691,Purchased,2023-06-28,Approved,2023-06-28,48,F,35000,Tobacco User,15,200000,67.08,Facebook Paid
13896718995,2023-06-28 7:38,Term Life,2023-06-28,1559689,Customer declined,,Application cancelled,,72,M,50000,Non-Tobacco User,10,100000,205.72,Affiliate
13896652069,2023-06-28 7:35,Term Life,2023-06-28,1559684,Pending,2023-06-28,Approved,,33,M,50000,Non-Tobacco User,30,600000,60.5,Facebook Paid
13896631982,2023-06-28 7:22,Term Life,2023-06-28,1559686,Pending,2023-06-30,Approved,,32,F,35000,Non-Tobacco User,30,600000,43.35,Facebook Paid
13896442266,2023-06-28 6:42,Term Life,,,,,,,38,F,,,,,16.02,Google Paid
13892839315,2023-06-28 3:43,Term Life,2023-06-28,1559681,Customer declined,2023-06-28,Approved,,57,F,120000,Non-Tobacco User,15,250000,77.9,Affiliate
13892266851,2023-06-28 3:24,Term Life,,,,,,,39,M,110000,,,,60.8,Google Paid
13891711638,2023-06-28 1:17,Term Life,2023-06-28,1559677,Customer declined,,Application cancelled,,59,M,110000,Non-Tobacco User,10,450000,140.76,Facebook Paid
13891551302,2023-06-28 1:02,Term Life,2023-06-28,1559674,Purchased,2023-06-28,Approved,2023-07-07,38,F,90000,Non-Tobacco User,10,600000,20.57,Mortgage
13891583309,2023-06-28 0:53,Term Life,,,,,,,43,M,,,,,24.49,Bing
13891621454,2023-06-28 0:43,Term Life,2023-06-28,1559675,Purchased,2023-06-28,Approved,2023-06-28,33,M,95000,Non-Tobacco User,10,600000,23.77,Mortgage
13891649820,2023-06-28 0:30,Term Life,2023-06-28,1559679,Application declined,2023-06-28,Declined,,58,F,75000,Non-Tobacco User,10,450000,89.19,Facebook Paid
13891561134,2023-06-28 0:26,Critical Illness,,,,,,,61,F,,,,,40.18,Bing
13891503624,2023-06-28 0:22,Term Life,,,,,,,34,M,225000,,,,83.02,Online Community
13891511959,2023-06-28 0:01,Term Life,,,,,,,20,F,,,,,44.48,Affiliate
13891381609,2023-06-27 23:32,Term Life,2023-06-28,1559667,Pending,2023-06-27,Approved,,41,M,60000,Non-Tobacco User,15,1000000,76.04,Facebook Paid
13891322536,2023-06-27 23:30,Term Life,2023-06-28,1559673,Purchased,2023-07-07,Approved,2023-07-19,30,F,79000,Non-Tobacco User,20,500000,21.42,Direct
13891331075,2023-06-27 23:20,Term Life,2023-06-28,1559669,Pending,,In Progress,,32,F,54000,Non-Tobacco User,15,1000000,33.31,Facebook Paid
13891356427,2023-06-27 23:14,Term Life,,,,,,,40,F,,,,,20.24,Facebook Paid
13891330357,2023-06-27 23:13,Term Life,,,,,,,43,M,,,,,112.71,Facebook Paid
13891294856,2023-06-27 23:04,Term Life,,,,,,,40,F,,,,,36.52,Facebook Paid
13891235428,2023-06-27 22:58,Term Life,,,,,,,59,M,,,,,125.62,Facebook Paid
13891316610,2023-06-27 22:54,Critical Illness,,,,,,,68,F,,,,,64.57,Affiliate
13891242422,2023-06-27 22:46,Term Life,,,,,,,74,F,,,,,242.57,SEO
13890342919,2023-06-27 22:39,Term Life,,,,,,,49,F,,,,,74.55,Facebook Paid
13891200872,2023-06-27 22:38,Term Life,2023-06-28,1559664,Purchased,2023-06-27,Approved,2023-06-30,51,M,90000,Non-Tobacco User,10,250000,41.09,Affiliate
13891227302,2023-06-27 22:36,Term Life,,,,,,,50,M,,,,,100.57,Facebook Paid
13891161722,2023-06-27 22:24,Term Life,2023-06-28,1559665,Purchased,2023-06-27,Approved,2023-06-28,55,F,90000,Non-Tobacco User,10,250000,42,Affiliate
13891129981,2023-06-27 22:23,Term Life,2023-06-28,1559683,Purchased,2023-06-28,Approved,2023-07-10,42,M,75000,Non-Tobacco User,20,400000,48.6,Facebook Paid
13890214719,2023-06-27 21:08,Term Life,2023-06-28,1559660,Pending,2023-06-27,Approved,,39,M,150000,Non-Tobacco User,30,350000,61.4,Affiliate
13890030885,2023-06-27 20:56,Term Life,2023-06-28,1559662,Pending,2023-06-28,Approved,,38,F,75000,Non-Tobacco User,30,350000,42.42,Affiliate
13890162505,2023-06-27 20:46,Critical Illness,,,,,,,35,F,,,,,28.48,Google Paid
13889888646,2023-06-27 20:37,Term Life,2023-06-28,1559656,Pending,2023-06-27,Approved,,35,M,80000,Non-Tobacco User,30,400000,48.32,Google Paid
13889829298,2023-06-27 20:11,Term Life,2023-06-28,1559652,Pending,,In Progress,,51,M,110000,Non-Tobacco User,20,500000,136.17,SEO
13889814291,2023-06-27 20:10,Term Life,2023-06-28,1559658,Application declined,2023-06-27,Declined,,35,F,120000,Non-Tobacco User,30,400000,36.27,Google Paid
13889243207,2023-06-27 19:06,Term Life,2023-06-27,1559648,Customer declined,,Application cancelled,,54,M,100000,Non-Tobacco User,15,500000,155.73,Facebook Paid
13889374511,2023-06-27 19:03,Term Life,2023-06-28,1559663,Pending,,In Progress,,59,M,100000,Non-Tobacco User,10,200000,67.94,Mortgage
13887587476,2023-06-27 18:57,Term Life,2023-06-27,1559646,Purchased,2023-06-27,Approved,2023-06-28,33,M,35000,Tobacco User,30,150000,41.05,Affiliate
13889439261,2023-06-27 18:56,Term Life,2023-06-27,1559651,Customer declined,,Application cancelled,,42,F,100000,Non-Tobacco User,25,1000000,112.98,Google Paid
13889082968,2023-06-27 18:30,Term Life,,,,,,,35,F,,,,,26.77,Affiliate
13889251472,2023-06-27 18:29,Term Life,2023-06-27,1559644,Customer declined,2023-06-27,Approved,,31,M,95000,Non-Tobacco User,30,500000,46.34,Affiliate
13889088134,2023-06-27 18:18,Term Life,,,,,,,35,M,100000,,,,41.34,SEO
13888974359,2023-06-27 18:10,Term Life,,,,,,,71,F,,,,,155.49,Facebook Paid
13889020552,2023-06-27 18:09,Term Life,,,,,,,57,F,,,,,83.2,Affiliate
13889148956,2023-06-27 18:01,Term Life,,,,,,,43,F,,,,,46.99,Google Paid
13888991616,2023-06-27 17:36,Term Life,2023-06-27,1559643,Customer declined,,Application cancelled,,62,F,95000,Non-Tobacco User,20,200000,150.76,Google Paid
13888666802,2023-06-27 17:27,Term Life,,,,,,,41,F,,,,,57.23,Facebook Paid
13888770230,2023-06-27 17:25,Term Life,2023-06-27,1559641,Purchased,2023-06-27,Approved,2023-06-28,38,F,92000,Non-Tobacco User,20,200000,16.76,Affiliate
13888629855,2023-06-27 17:19,Term Life,2023-06-27,1559637,Pending,2023-06-27,Approved,,28,F,175000,Non-Tobacco User,20,1675000,57.9,Google Paid
13888605701,2023-06-27 16:53,Term Life,2023-06-27,1559635,Pending,2023-06-27,Approved,,29,M,80000,Non-Tobacco User,20,1350000,70.74,Friend or Family
13888679991,2023-06-27 16:24,Term Life,,,,,,,37,F,100000,,,,34.11,SEO
13888523271,2023-06-27 16:20,Term Life,,,,,,,50,M,,,,,56.84,Facebook Paid
13888234140,2023-06-27 15:54,Term Life,,,,,,,41,F,,,,,47.46,Facebook Paid
13888256066,2023-06-27 15:42,Term Life,,,,,,,53,F,58000,,,,211.1,Google Paid
13888077604,2023-06-27 15:38,Term Life,2023-06-27,1559631,Purchased,2023-06-27,Approved,2023-06-27,22,F,33000,Non-Tobacco User,30,500000,25.35,SEO
13888230229,2023-06-27 15:28,Term Life,2023-06-27,1559633,Purchased,2023-06-27,Approved,2023-06-28,25,M,85000,Non-Tobacco User,30,500000,37.48,SEO
13888145568,2023-06-27 15:28,Term Life,,,,,,,27,M,,,,,32.07,Affiliate
13886928725,2023-06-27 15:24,Term Life,,,,,,,27,F,,,,,28.62,Organic Social
13886905670,2023-06-27 15:24,Term Life,2023-06-27,1559629,Application declined,2023-07-06,Declined,,57,F,140000,Non-Tobacco User,10,200000,47.18,SEO
13887966558,2023-06-27 15:24,Term Life,,,,,,,30,M,25000,,,,43.97,Facebook Paid
